id;titulo;subtitulo;ano;num_pags;isbn;formato;autor;editora;idioma
1;Livro 1;Livro 1 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
2;Livro 2;Livro 2 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
3;Livro 3;Livro 3 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
4;Livro 4;Livro 4 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
5;Livro 5;Livro 5 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
6;Livro 6;Livro 6 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
7;Livro 7;Livro 7 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
8;Livro 8;Livro 8 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
9;Livro 9;Livro 9 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
10;Livro 10;Livro 10 - sub 1;2022;154;873294723984723;PAPEL;1-Jorge Linhares;1-Editora 01;1-Portugues
